location,size,total_sqft,bath,price,price_per_sqft,bhk
 Devarachikkanahalli,2,1250.0,2,40.0,3200.0,2
 Devarachikkanahalli,2,1200.0,2,83.0,6916.666666666667,2
 Devarachikkanahalli,2,1170.0,2,40.0,3418.803418803419,2
 Devarachikkanahalli,3,1425.0,2,65.0,4561.403508771929,3
 Devarachikkanahalli,2,947.0,2,43.0,4540.654699049631,2
 Devarachikkanahalli,2,1130.0,2,36.0,3185.8407079646017,2
 Devarachikkanahalli,3,1417.0,2,76.0,5363.443895553987,3
 Devarachikkanahalli,2,1230.0,2,58.0,4715.447154471544,2
 Devarachikkanahalli,3,1705.0,3,75.0,4398.826979472141,3
 Devarachikkanahalli,2,1116.0,2,47.0,4211.469534050179,2
 Devarachikkanahalli,2,991.0,2,40.0,4036.326942482341,2
1st Block Jayanagar,4,2850.0,4,428.0,15017.543859649122,4
1st Block Jayanagar,3,1630.0,3,194.0,11901.840490797544,3
1st Block Jayanagar,3,1875.0,2,235.0,12533.333333333334,3
1st Block Jayanagar,3,1200.0,2,130.0,10833.333333333334,3
1st Block Jayanagar,2,1235.0,2,148.0,11983.805668016194,2
1st Block Jayanagar,4,2750.0,4,413.0,15018.181818181818,4
1st Block Jayanagar,4,2450.0,4,368.0,15020.408163265309,4
1st Phase JP Nagar,3,1875.0,3,167.0,8906.666666666666,3
1st Phase JP Nagar,5,1500.0,5,85.0,5666.666666666667,5
1st Phase JP Nagar,3,2065.0,4,210.0,10169.49152542373,3
1st Phase JP Nagar,3,2059.0,3,225.0,10927.634774162214,3
1st Phase JP Nagar,2,1394.0,2,100.0,7173.601147776184,2
1st Phase JP Nagar,2,1077.0,2,93.0,8635.097493036212,2
1st Phase JP Nagar,2,1566.0,2,180.0,11494.25287356322,2
1st Phase JP Nagar,1,840.0,2,50.0,5952.380952380952,1
1st Phase JP Nagar,3,1590.0,3,131.0,8238.993710691824,3
1st Phase JP Nagar,3,2180.0,3,210.0,9633.02752293578,3
1st Phase JP Nagar,2,1180.0,2,88.5,7500.0,2
1st Phase JP Nagar,2,1200.0,2,86.0,7166.666666666667,2
1st Phase JP Nagar,2,1394.0,2,85.0,6097.5609756097565,2
1st Phase JP Nagar,3,2077.0,3,175.0,8425.613866153106,3
1st Phase JP Nagar,2,1205.0,2,85.0,7053.941908713693,2
1st Phase JP Nagar,2,900.0,2,75.0,8333.333333333334,2
2nd Phase Judicial Layout,3,1450.0,2,50.75,3500.0,3
2nd Phase Judicial Layout,2,1150.0,2,40.25,3500.0,2
2nd Phase Judicial Layout,3,1350.0,2,47.25,3500.0,3
2nd Phase Judicial Layout,3,1350.0,2,47.25,3500.0,3
2nd Phase Judicial Layout,2,900.0,2,41.0,4555.555555555556,2
2nd Phase Judicial Layout,3,1681.0,3,69.0,4104.699583581201,3
2nd Phase Judicial Layout,3,1350.0,2,47.25,3500.0,3
2nd Phase Judicial Layout,2,1150.0,2,40.25,3500.0,2
2nd Stage Nagarbhavi,4,1500.0,4,220.0,14666.666666666666,4
2nd Stage Nagarbhavi,4,1350.0,4,200.0,14814.814814814816,4
2nd Stage Nagarbhavi,4,1200.0,4,225.0,18750.0,4
2nd Stage Nagarbhavi,4,1500.0,3,230.0,15333.333333333334,4
5th Block Hbr Layout,2,1206.0,2,56.0,4643.449419568822,2
5th Block Hbr Layout,3,1270.0,2,70.0,5511.811023622047,3
5th Block Hbr Layout,2,1312.0,2,69.0,5259.146341463415,2
5th Block Hbr Layout,2,1100.0,2,48.0,4363.636363636364,2
5th Block Hbr Layout,5,3600.0,5,130.0,3611.1111111111113,5
5th Block Hbr Layout,6,5100.0,5,300.0,5882.35294117647,6
5th Phase JP Nagar,2,1075.0,2,60.0,5581.395348837209,2
5th Phase JP Nagar,2,1150.0,3,52.5,4565.217391304348,2
5th Phase JP Nagar,2,1256.0,2,62.8,5000.0,2
5th Phase JP Nagar,2,1207.0,2,63.0,5219.552609776305,2
5th Phase JP Nagar,3,1725.0,2,100.0,5797.101449275362,3
5th Phase JP Nagar,2,1440.0,2,60.0,4166.666666666667,2
5th Phase JP Nagar,3,1700.0,2,100.0,5882.35294117647,3
5th Phase JP Nagar,5,2500.0,5,110.0,4400.0,5
5th Phase JP Nagar,1,600.0,1,30.0,5000.0,1
5th Phase JP Nagar,2,1390.0,2,65.0,4676.258992805755,2
5th Phase JP Nagar,2,1256.0,2,62.8,5000.0,2
5th Phase JP Nagar,2,1000.0,2,48.0,4800.0,2
5th Phase JP Nagar,3,1350.0,2,75.0,5555.555555555556,3
5th Phase JP Nagar,1,552.0,1,23.5,4257.246376811594,1
5th Phase JP Nagar,2,1200.0,2,51.0,4250.0,2
5th Phase JP Nagar,2,1030.0,2,57.0,5533.980582524272,2
5th Phase JP Nagar,2,1200.0,2,68.0,5666.666666666667,2
5th Phase JP Nagar,2,1190.0,2,61.8,5193.27731092437,2
5th Phase JP Nagar,5,4000.0,5,170.0,4250.0,5
5th Phase JP Nagar,2,1080.0,2,53.0,4907.407407407408,2
5th Phase JP Nagar,2,1041.0,2,54.0,5187.319884726225,2
5th Phase JP Nagar,2,812.0,2,42.0,5172.413793103448,2
5th Phase JP Nagar,2,1010.0,2,57.0,5643.564356435643,2
5th Phase JP Nagar,2,1075.0,2,60.0,5581.395348837209,2
6th Phase JP Nagar,2,1192.0,2,74.0,6208.053691275168,2
6th Phase JP Nagar,2,1180.0,2,80.0,6779.661016949152,2
6th Phase JP Nagar,4,3245.0,4,250.0,7704.160246533128,4
6th Phase JP Nagar,3,1645.0,3,100.0,6079.0273556231,3
6th Phase JP Nagar,2,1140.0,2,65.0,5701.754385964912,2
6th Phase JP Nagar,3,2040.0,3,200.0,9803.921568627453,3
6th Phase JP Nagar,2,1213.0,2,63.0,5193.734542456719,2
6th Phase JP Nagar,2,1216.0,2,60.0,4934.210526315789,2
6th Phase JP Nagar,2,1460.0,2,80.0,5479.45205479452,2
6th Phase JP Nagar,3,2003.0,3,200.0,9985.022466300548,3
6th Phase JP Nagar,3,1810.0,3,131.0,7237.56906077348,3
6th Phase JP Nagar,3,1515.0,2,135.0,8910.89108910891,3
6th Phase JP Nagar,2,1192.0,2,75.0,6291.946308724832,2
6th Phase JP Nagar,2,1280.0,2,88.0,6875.0,2
7th Phase JP Nagar,2,1080.0,2,72.0,6666.666666666667,2
7th Phase JP Nagar,2,1270.0,2,93.0,7322.834645669292,2
7th Phase JP Nagar,3,1420.0,2,100.0,7042.2535211267605,3
7th Phase JP Nagar,3,1850.0,3,150.0,8108.108108108108,3
7th Phase JP Nagar,2,1245.0,2,94.0,7550.2008032128515,2
7th Phase JP Nagar,2,1175.0,2,82.0,6978.723404255319,2
7th Phase JP Nagar,3,1400.0,2,95.0,6785.714285714285,3
7th Phase JP Nagar,3,2225.0,3,160.0,7191.011235955056,3
7th Phase JP Nagar,2,1050.0,2,71.0,6761.9047619047615,2
7th Phase JP Nagar,2,1100.0,2,46.0,4181.818181818182,2
7th Phase JP Nagar,2,918.0,2,50.49,5500.0,2
7th Phase JP Nagar,3,1450.0,2,100.0,6896.551724137931,3
7th Phase JP Nagar,2,1190.0,2,49.98,4200.0,2
7th Phase JP Nagar,3,1420.0,2,96.0,6760.56338028169,3
7th Phase JP Nagar,3,1680.0,3,120.0,7142.857142857143,3
7th Phase JP Nagar,2,980.0,2,69.0,7040.816326530612,2
7th Phase JP Nagar,2,1180.0,2,72.0,6101.6949152542375,2
7th Phase JP Nagar,3,1400.0,3,115.0,8214.285714285714,3
7th Phase JP Nagar,2,1270.0,2,83.0,6535.433070866142,2
7th Phase JP Nagar,4,2503.0,4,188.0,7510.986815821015,4
7th Phase JP Nagar,3,2200.0,3,190.0,8636.363636363636,3
7th Phase JP Nagar,3,1575.0,2,110.0,6984.126984126984,3
7th Phase JP Nagar,3,1850.0,3,140.0,7567.567567567567,3
7th Phase JP Nagar,3,1575.0,2,120.0,7619.047619047619,3
7th Phase JP Nagar,3,1850.0,3,150.0,8108.108108108108,3
7th Phase JP Nagar,3,1680.0,3,120.0,7142.857142857143,3
7th Phase JP Nagar,2,1175.0,2,82.5,7021.276595744681,2
7th Phase JP Nagar,2,1215.0,2,90.0,7407.407407407408,2
7th Phase JP Nagar,2,1050.0,2,75.0,7142.857142857143,2
7th Phase JP Nagar,3,1300.0,3,89.13,6856.153846153846,3
7th Phase JP Nagar,2,1130.0,2,73.0,6460.1769911504425,2
7th Phase JP Nagar,3,1450.0,3,100.0,6896.551724137931,3
7th Phase JP Nagar,2,1050.0,2,50.0,4761.9047619047615,2
7th Phase JP Nagar,2,1275.0,2,87.0,6823.529411764706,2
7th Phase JP Nagar,3,1650.0,3,110.0,6666.666666666667,3
7th Phase JP Nagar,2,850.0,2,42.0,4941.176470588235,2
7th Phase JP Nagar,3,1680.0,3,117.0,6964.285714285715,3
7th Phase JP Nagar,3,1850.0,3,150.0,8108.108108108108,3
7th Phase JP Nagar,2,1236.0,2,61.33,4961.974110032363,2
7th Phase JP Nagar,2,1000.0,2,53.0,5300.0,2
7th Phase JP Nagar,3,1680.0,3,125.0,7440.476190476191,3
7th Phase JP Nagar,3,1675.0,2,135.0,8059.701492537313,3
7th Phase JP Nagar,2,1187.0,2,59.0,4970.513900589722,2
7th Phase JP Nagar,3,1850.0,3,155.0,8378.378378378378,3
7th Phase JP Nagar,2,1000.0,2,61.0,6100.0,2
7th Phase JP Nagar,3,1460.0,2,100.0,6849.315068493151,3
7th Phase JP Nagar,3,1650.0,3,110.0,6666.666666666667,3
7th Phase JP Nagar,2,1200.0,2,62.5,5208.333333333333,2
7th Phase JP Nagar,2,1000.0,2,70.65,7065.000000000001,2
7th Phase JP Nagar,2,1080.0,2,75.0,6944.444444444444,2
7th Phase JP Nagar,3,1680.0,3,125.0,7440.476190476191,3
7th Phase JP Nagar,3,1460.0,2,97.0,6643.835616438356,3
7th Phase JP Nagar,2,1120.0,2,65.0,5803.571428571428,2
7th Phase JP Nagar,2,1100.0,3,60.0,5454.545454545455,2
7th Phase JP Nagar,3,1790.0,3,120.0,6703.91061452514,3
7th Phase JP Nagar,3,1680.0,3,117.0,6964.285714285715,3
7th Phase JP Nagar,2,1050.0,2,77.0,7333.333333333333,2
7th Phase JP Nagar,2,1050.0,2,75.0,7142.857142857143,2
7th Phase JP Nagar,2,1040.0,2,75.0,7211.538461538462,2
7th Phase JP Nagar,3,1400.0,2,95.0,6785.714285714285,3
7th Phase JP Nagar,3,1800.0,3,130.0,7222.222222222223,3
7th Phase JP Nagar,2,1050.0,2,68.0,6476.190476190476,2
7th Phase JP Nagar,2,1000.0,2,60.0,6000.0,2
7th Phase JP Nagar,3,1680.0,3,125.0,7440.476190476191,3
7th Phase JP Nagar,2,1050.0,2,77.47,7378.0952380952385,2
7th Phase JP Nagar,2,1270.0,2,80.0,6299.212598425197,2
7th Phase JP Nagar,3,1680.0,3,122.0,7261.9047619047615,3
7th Phase JP Nagar,2,1130.0,2,85.0,7522.123893805309,2
7th Phase JP Nagar,3,1680.0,3,130.0,7738.0952380952385,3
7th Phase JP Nagar,2,980.0,2,77.44,7902.040816326531,2
7th Phase JP Nagar,3,1680.0,3,112.0,6666.666666666667,3
7th Phase JP Nagar,3,2095.0,3,150.0,7159.904534606205,3
7th Phase JP Nagar,3,1976.0,3,145.0,7338.056680161943,3
